data;godzina;zamkniecie
20190102;80000;1.047430
20190103;80000;1.049390
20190104;80000;1.052550
20190107;80000;1.055250
20190108;80000;1.060460
20190109;80000;1.057260
20190110;80000;1.059010
20190111;80000;1.056660
20190114;80000;1.054950
20190115;80000;1.054860
20190116;80000;1.059500
20190117;80000;1.062680
20190118;80000;1.062450
20190121;80000;1.063340
20190122;80000;1.060540
20190123;80000;1.050770
20190124;80000;1.048450
20190125;80000;1.049200
20190128;80000;1.048660
20190129;80000;1.046130
20190130;80000;1.052520
20190131;80000;1.051660
20190102;120000;1.049450
20190103;120000;1.049000
20190104;120000;1.053880
20190107;120000;1.056560
20190108;120000;1.061100
20190109;120000;1.055560
20190110;120000;1.058910
20190111;120000;1.055320
20190114;120000;1.054060
20190115;120000;1.055670
20190116;120000;1.058340
20190117;120000;1.062790
20190118;120000;1.062360
20190121;120000;1.063030
20190122;120000;1.060120
20190123;120000;1.050710
20190124;120000;1.048410
20190125;120000;1.048620
20190128;120000;1.048310
20190129;120000;1.046540
20190130;120000;1.052400
20190131;120000;1.051800
20190102;160000;1.050540
20190103;160000;1.046250
20190104;160000;1.056170
20190107;160000;1.057600
20190108;160000;1.061560
20190109;160000;1.056200
20190110;160000;1.059110
20190111;160000;1.054710
20190114;160000;1.055350
20190115;160000;1.056090
20190116;160000;1.057820
20190117;160000;1.063530
20190118;160000;1.063110
20190121;160000;1.063630
20190122;160000;1.058860
20190123;160000;1.052130
20190124;160000;1.048380
20190125;160000;1.048860
20190128;160000;1.049120
20190129;160000;1.046840
20190130;160000;1.051670
20190131;160000;1.051640
20190101;200000;1.048930
20190102;200000;1.046760
20190103;200000;1.047280
20190106;200000;1.056640
20190107;200000;1.058740
20190108;200000;1.059890
20190109;200000;1.055910
20190110;200000;1.059610
20190113;200000;1.056180
20190114;200000;1.054530
20190115;200000;1.054800
20190116;200000;1.058210
20190117;200000;1.063880
20190120;200000;1.063560
20190121;200000;1.063790
20190122;200000;1.052520
20190123;200000;1.053630
20190124;200000;1.048310
20190127;200000;1.050150
20190128;200000;1.046850
20190129;200000;1.051610
20190130;200000;1.050900
20190131;200000;1.050140
20190211;200000;1.050070
20190212;200000;1.045370
20190213;200000;1.041660
20190214;200000;1.040550
20190217;200000;1.039030
20190218;200000;1.039810
20190219;200000;1.041070
20190220;200000;1.048020
20190221;200000;1.042950
20190224;200000;1.040710
20190225;200000;1.041270
20190226;200000;1.041880
20190227;200000;1.043870
20190228;200000;1.041260
20190301;80000;1.040750
20190304;80000;1.041790
20190305;80000;1.041000
20190306;80000;1.037490
20190307;80000;1.037790
20190308;80000;1.035070
20190311;80000;1.035000
20190312;80000;1.032170
20190313;80000;1.033230
20190314;80000;1.034340
20190315;80000;1.034200
20190301;120000;1.040190
20190304;120000;1.040710
20190305;120000;1.041990
20190306;120000;1.036730
20190307;120000;1.038490
20190308;120000;1.035190
20190311;120000;1.033540
20190312;120000;1.031520
20190313;120000;1.033730
20190314;120000;1.035380
20190315;120000;1.034770
20190301;160000;1.040930
20190304;160000;1.039000
20190305;160000;1.041630
20190306;160000;1.038290
20190307;160000;1.038590
20190308;160000;1.034990
20190311;160000;1.034400
20190312;160000;1.031720
20190313;160000;1.034100
20190303;200000;1.040630
20190304;200000;1.038860
20190305;200000;1.040290
20190306;200000;1.037580
20190307;200000;1.037700
20190310;200000;1.034450
20190311;200000;1.034330
20190312;200000;1.030670
20190313;200000;1.032890
20190314;200000;1.033980
