Data;Otwarcie;Zamkniêcie;Maks.;Min.;Obrót (mln. z³);Zmiana (%)
02.01.2019; 12,00; 12,00; 12,00; 11,20; 0,02;0
03.01.2019; 12,50; 12,45; 12,50; 12,45; 0,00; 3,75
04.01.2019; 12,60; 12,40; 12,60; 11,95; 0,01;- 0,40
07.01.2019; 12,40; 12,50; 12,55; 12,40; 0,01; 0,81
08.01.2019; 12,60; 12,70; 12,70; 12,30; 0,01; 1,60
09.01.2019; 12,60; 12,70; 12,70; 12,50; 0,01; 0,00
10.01.2019; 12,70; 12,00; 12,70; 12,00; 0,01;- 5,51
11.01.2019; 12,00; 12,65; 12,65; 11,75; 0,03; 5,42
14.01.2019; 12,65; 12,60; 12,65; 11,75; 0,04;- 0,40
15.01.2019; 12,35; 11,80; 12,35; 11,60; 0,05;- 6,35
16.01.2019; 11,80; 12,00; 12,10; 11,80; 0,01; 1,69
17.01.2019; 12,20; 12,00; 12,20; 11,55; 0,01; 0,00
18.01.2019; 12,00; 11,90; 12,00; 11,55; 0,01;- 0,83
21.01.2019; 11,90; 11,90; 11,90; 11,90; 0,01; 0,00
22.01.2019; 11,90; 11,90; 11,90; 11,90; 0,00; 0,00
23.01.2019; 11,90; 11,85; 11,90; 11,40; 0,01;- 0,42
24.01.2019; 11,90; 11,85; 11,90; 11,55; 0,00; 0,00
25.01.2019; 11,90; 11,85; 11,90; 11,85; 0,00; 0,00
28.01.2019; 12,00; 11,90; 12,00; 11,90; 0,00; 0,42
29.01.2019; 11,85; 12,15; 12,15; 11,80; 0,03; 2,10
30.01.2019; 12,20; 12,50; 12,70; 12,20; 0,04; 2,88
31.01.2019; 12,70; 12,50; 12,70; 12,50; 0,00; 0,00
01.02.2019; 12,70; 12,70; 12,70; 12,55; 0,00; 1,60
04.02.2019; 12,70; 12,70; 12,70; 12,70; 0,00; 0,00
05.02.2019; 12,70; 12,95; 12,95; 12,50; 0,01; 1,97
06.02.2019; 12,95; 12,30; 12,95; 12,10; 0,04;- 5,02
07.02.2019; 12,45; 12,30; 12,45; 12,00; 0,01; 0,00
08.02.2019; 12,30; 12,60; 12,60; 12,25; 0,00; 2,44
11.02.2019; 12,60; 11,60; 12,60; 11,50; 0,03;- 7,94
12.02.2019; 11,60; 11,60; 11,60; 11,30; 0,05; 0,00
13.02.2019; 11,60; 11,60; 11,60; 11,30; 0,01; 0,00
14.02.2019; 11,60; 11,60; 11,60; 11,50; 0,00; 0,00
15.02.2019; 11,55; 11,55; 11,55; 11,55; 0,01;- 0,43
18.02.2019; 11,50; 11,70; 11,70; 11,50; 0,10; 1,30
19.02.2019; 11,90; 11,75; 11,90; 11,55; 0,01; 0,43
20.02.2019; 12,30; 12,00; 12,30; 11,80; 0,02; 2,13
21.02.2019; 12,00; 12,00; 12,00; 12,00; 0,01; 0,00
22.02.2019; 12,00; 11,80; 12,00; 11,60; 0,03;- 1,67
25.02.2019; 11,85; 11,40; 11,85; 11,30; 0,06;- 3,39
26.02.2019; 11,30; 11,45; 11,50; 11,10; 0,02; 0,44
27.02.2019; 11,60; 11,20; 11,60; 10,90; 0,06;- 2,18
28.02.2019; 11,20; 11,20; 11,20; 11,20; 0,00; 0,00
01.03.2019; 11,20; 11,25; 11,25; 10,90; 0,01; 0,45
04.03.2019; 11,65; 11,45; 11,65; 11,00; 0,01; 1,78
05.03.2019; 11,45; 11,45; 11,45; 11,45; 0,01; 0,00
06.03.2019; 11,50; 11,40; 11,50; 11,40; 0,01;- 0,44
07.03.2019; 11,05; 11,40; 11,50; 10,90; 0,32; 0,00
08.03.2019; 11,45; 11,70; 11,70; 11,20; 0,06; 2,63
11.03.2019; 11,80; 11,70; 11,80; 11,40; 0,05; 0,00
12.03.2019; 11,50; 11,55; 11,55; 11,05; 0,03;- 1,28
13.03.2019; 11,70; 11,50; 11,70; 11,50; 0,01;- 0,43
14.03.2019; 11,50; 11,40; 11,50; 11,00; 0,05;- 0,87
15.03.2019; 11,40; 11,40; 11,40; 11,40; 0,00; 0,00
