Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
02.01.2019;0,66;0,67;0,65;0,67;66394
03.01.2019;0,65;0,67;0,65;0,67;53562
04.01.2019;0,66;0,67;0,66;0,67;12100
07.01.2019;0,66;0,67;0,66;0,67;24048
08.01.2019;0,67;0,67;0,67;0,67;4455
09.01.2019;0,67;0,69;0,66;0,69;22518
10.01.2019;0,68;0,69;0,67;0,69;5689
11.01.2019;0,69;0,69;0,68;0,69;7064
14.01.2019;0,69;0,69;0,67;0,67;7064
15.01.2019;0,68;0,69;0,68;0,69;13546
16.01.2019;0,69;0,77;0,68;0,73;190624
17.01.2019;0,73;0,74;0,71;0,74;33987
18.01.2019;0,73;0,74;0,73;0,74;14507
21.01.2019;0,73;0,73;0,68;0,71;41548
22.01.2019;0,7;0,71;0,69;0,71;37394
23.01.2019;0,7;0,7;0,69;0,7;10083
24.01.2019;0,7;0,71;0,69;0,71;6653
25.01.2019;0,71;0,75;0,71;0,74;50504
28.01.2019;0,74;0,77;0,74;0,76;42962
29.01.2019;0,76;0,76;0,7;0,73;97603
30.01.2019;0,73;0,73;0,7;0,72;31888
31.01.2019;0,73;0,73;0,69;0,72;14981
01.02.2019;0,72;0,72;0,7;0,7;16807
04.02.2019;0,7;0,71;0,67;0,67;46964
05.02.2019;0,67;0,69;0,62;0,66;102888
06.02.2019;0,68;0,7;0,64;0,66;104721
07.02.2019;0,66;0,67;0,64;0,67;9986
08.02.2019;0,66;0,69;0,66;0,69;52542
11.02.2019;0,69;0,7;0,68;0,69;31438
12.02.2019;0,69;0,7;0,68;0,7;6721
13.02.2019;0,68;0,7;0,66;0,69;44973
14.02.2019;0,69;0,71;0,69;0,71;47059
15.02.2019;0,69;0,7;0,67;0,69;31151
18.02.2019;0,69;0,77;0,67;0,75;80484
19.02.2019;0,74;0,74;0,71;0,73;17324
20.02.2019;0,7;0,72;0,69;0,69;23515
21.02.2019;0,68;0,72;0,67;0,71;66646
22.02.2019;0,71;0,74;0,68;0,71;355988
25.02.2019;0,71;0,71;0,68;0,71;19454
26.02.2019;0,71;0,71;0,69;0,7;4149
27.02.2019;0,69;0,69;0,69;0,69;26876
28.02.2019;0,69;0,7;0,69;0,7;15514
01.03.2019;0,7;0,76;0,7;0,73;117708
04.03.2019;0,73;0,73;0,7;0,72;50255
05.03.2019;0,72;0,72;0,7;0,71;4434
06.03.2019;0,72;0,75;0,7;0,714;118355
07.03.2019;0,714;0,72;0,69;0,69;34280
08.03.2019;0,7;0,71;0,69;0,708;59430
11.03.2019;0,69;0,73;0,68;0,7;67759
12.03.2019;0,714;0,714;0,69;0,69;21063
13.03.2019;0,708;0,708;0,68;0,7;5900
14.03.2019;0,686;0,698;0,68;0,69;53276
15.03.2019;0,68;0,686;0,65;0,686;24676
18.03.2019;0,686;0,69;0,67;0,688;27488
19.03.2019;0,67;0,68;0,66;0,666;35078
20.03.2019;0,67;0,68;0,666;0,67;11644
21.03.2019;0,678;0,686;0,67;0,686;25028
22.03.2019;0,68;0,68;0,67;0,67;8142
